week_start,mon,wed,fri
2026-06-01,01-agency-maths,p1-verify,04-ask-5
2026-06-08,s02-pride,17-aesthetics-numbers,19-clinicians-private
2026-06-15,s01-mens-health,23-founding-41,08-agency-vs-board
2026-06-22,p3-worth,13-what-verified,02-private-boom
2026-06-29,s04-nhs-birthday,07-empty-chair,p5-question
2026-07-06,s03-summer-myth,22-green-flags,11-time-to-fill
2026-07-13,05-aesthetics-verify,23-founding-41,p2-team
2026-07-20,21-how-it-works,03-salary-2026,16-will-i-get-quality
2026-07-27,12-post-once,p7-greenflags,09-always-agency
2026-08-03,06-optometry,14-quality-volume,p4-bridge
2026-08-10,s05-results-day,23-founding-41,20-good-hiring
2026-08-17,10-fill-no-agency,18-blind-spot,f18-returners
2026-08-24,15-compliance,p6-chair,01-agency-maths
2026-08-31,p1-verify,04-ask-5,17-aesthetics-numbers
2026-09-07,s06-physio-day,23-founding-41,19-clinicians-private
2026-09-14,s07-q4-hiring,08-agency-vs-board,p3-worth
2026-09-21,s08-eye-health,13-what-verified,02-private-boom
2026-09-28,07-empty-chair,p5-question,22-green-flags
2026-10-05,s09-mental-health,23-founding-41,11-time-to-fill
2026-10-12,05-aesthetics-verify,p2-team,21-how-it-works
2026-10-19,s10-menopause,03-salary-2026,16-will-i-get-quality
2026-10-26,s11-halloween,12-post-once,p7-greenflags
2026-11-02,s12-movember,23-founding-41,09-always-agency
2026-11-09,f17-diabetes-day,06-optometry,14-quality-volume
2026-11-16,p4-bridge,20-good-hiring,10-fill-no-agency
2026-11-23,s13-black-friday,18-blind-spot,f18-returners
2026-11-30,15-compliance,p6-chair,01-agency-maths
2026-12-07,p1-verify,04-ask-5,17-aesthetics-numbers
2026-12-14,s14-christmas,19-clinicians-private,08-agency-vs-board
2026-12-21,p3-worth,13-what-verified,02-private-boom
2026-12-28,s15-new-year,07-empty-chair,p5-question
2027-01-04,f01-new-year-pro,22-green-flags,11-time-to-fill
2027-01-11,05-aesthetics-verify,p2-team,21-how-it-works
2027-01-18,f02-blue-monday,03-salary-2026,16-will-i-get-quality
2027-01-25,12-post-once,p7-greenflags,09-always-agency
2027-02-01,f03-cancer-day,06-optometry,14-quality-volume
2027-02-08,f05-valentines,p4-bridge,20-good-hiring
2027-02-15,f04-time-to-talk,10-fill-no-agency,18-blind-spot
2027-02-22,f18-returners,15-compliance,p6-chair
2027-03-01,f06-careers-week,01-agency-maths,p1-verify
2027-03-08,f07-iwd,04-ask-5,17-aesthetics-numbers
2027-03-15,f08-mothers-day,19-clinicians-private,08-agency-vs-board
2027-03-22,p3-worth,13-what-verified,02-private-boom
2027-03-29,f10-april-fools,07-empty-chair,p5-question
2027-04-05,f11-tax-year,22-green-flags,11-time-to-fill
2027-04-12,f13-stress-month,05-aesthetics-verify,p2-team
2027-04-19,f09-vet-day,21-how-it-works,03-salary-2026
2027-04-26,16-will-i-get-quality,12-post-once,p7-greenflags
2027-05-03,f14-midwife-day,09-always-agency,06-optometry
2027-05-10,f15-nurses-day,14-quality-volume,p4-bridge
2027-05-17,f16-mh-week,20-good-hiring,10-fill-no-agency
2027-05-24,18-blind-spot,f18-returners,15-compliance
