Week,Day,Platform,PostID,Format,Title
"Week 1","Mon","LinkedIn","LI-01","CAROUSEL","The maths of one bad hire"
"Week 1","Tue","Instagram","IG-01","REEL","""40 CVs, zero registered"""
"Week 1","Thu","LinkedIn","LI-27","TEXT","A physio gap, by the numbers"
"Week 1","Fri","Instagram","IG-27","REEL","""3 numbers, one story"""
"Week 2","Mon","LinkedIn","LI-02","TEXT","The 40-CV problem"
"Week 2","Tue","Instagram","IG-02","VIDEO","""The £10,000 invoice"""
"Week 2","Thu","LinkedIn","LI-28","CAROUSEL","Aesthetics is scaling — and regulating"
"Week 2","Fri","Instagram","IG-28","REEL","""Clinicians are moving to private"""
"Week 3","Mon","LinkedIn","LI-03","CAROUSEL","5 hidden costs of an empty chair"
"Week 3","Tue","Instagram","IG-03","REEL","""POV: you run a private clinic"""
"Week 3","Thu","LinkedIn","LI-29","TEXT","Why private is pulling staff (and patients)"
"Week 3","Fri","Instagram","IG-29","REEL","""The 2-minute setup"""
"Week 4","Mon","LinkedIn","LI-04","TEXT","Unpopular opinion"
"Week 4","Tue","Instagram","IG-04","REEL","""Verified, not hopeful"""
"Week 4","Thu","LinkedIn","LI-30","CAROUSEL","The £5.7bn blind spot"
"Week 4","Fri","Instagram","IG-30","REEL","""Founder honesty"""
"Week 5","Mon","LinkedIn","LI-05","CAROUSEL","Agency vs job board, honestly"
"Week 5","Tue","Instagram","IG-05","REEL","""Everything is NHS"""
"Week 5","Thu","LinkedIn","LI-31","TEXT","Locum cover is a symptom"
"Week 5","Fri","Instagram","IG-31","CAROUSEL","""5 questions to ask a private practice"""
"Week 6","Mon","LinkedIn","LI-06","TEXT","The WhatsApp confession"
"Week 6","Tue","Instagram","IG-06","REEL","""Salary check"""
"Week 6","Thu","LinkedIn","LI-32","CAROUSEL","6 reasons clinicians are choosing private"
"Week 6","Fri","Instagram","IG-32","CAROUSEL","""Private practice salary benchmarks 2026"""
"Week 7","Mon","LinkedIn","LI-07","CAROUSEL","""We always use an agency"" — the rebuttal"
"Week 7","Tue","Instagram","IG-07","REEL","""The vet shortage explained in 8 seconds"""
"Week 7","Thu","LinkedIn","LI-33","TEXT","The data nobody puts together"
"Week 7","Fri","Instagram","IG-33","CAROUSEL","""How to fill a role without an agency"""
"Week 8","Mon","LinkedIn","LI-08","TEXT","The £6,125 number"
"Week 8","Tue","Instagram","IG-08","REEL","""Things a good private practice has"""
"Week 8","Thu","LinkedIn","LI-34","CAROUSEL","What ""good hiring"" looks like in a shortage"
"Week 8","Fri","Instagram","IG-34","CAROUSEL","""Pre-employment checklist for a clinical hire"""
"Week 9","Mon","LinkedIn","LI-09","CAROUSEL","How to fill a role without an agency"
"Week 9","Tue","Instagram","IG-09","REEL","""What an agency actually costs"""
"Week 9","Thu","LinkedIn","LI-35","TEXT","A prediction"
"Week 9","Fri","Instagram","IG-35","CAROUSEL","""Green flags in a private practice"""
"Week 10","Mon","LinkedIn","LI-10","TEXT","The real cost of ""cheap"""
"Week 10","Tue","Instagram","IG-10","REEL","""Red flags in a clinical job ad"""
"Week 10","Thu","LinkedIn","LI-36","CAROUSEL","""Everything is NHS"" — for the job-hunting clinician"
"Week 10","Fri","Instagram","IG-36","CAROUSEL","""The agency vs board breakdown"""
"Week 11","Mon","LinkedIn","LI-11","CAROUSEL","Time-to-fill by discipline"
"Week 11","Tue","Instagram","IG-11","REEL","""Indeed vs us"""
"Week 11","Thu","LinkedIn","LI-37","TEXT","Private vs NHS — the honest version"
"Week 11","Fri","Instagram","IG-37","CAROUSEL","""Why your roles take so long to fill"""
"Week 12","Mon","LinkedIn","LI-12","TEXT","Stop competing on salary alone"
"Week 12","Tue","Instagram","IG-12","REEL","""The 2026 aesthetics shift"""
"Week 12","Thu","LinkedIn","LI-38","CAROUSEL","Know your worth (salary benchmarks)"
"Week 12","Fri","Instagram","IG-38","CAROUSEL","""5 hidden costs of an empty chair"""
"Week 13","Mon","LinkedIn","LI-13","CAROUSEL","The ""post once, reach everyone"" case"
"Week 13","Tue","Instagram","IG-13","REEL","""Day in the life: filling a role the old way"""
"Week 13","Thu","LinkedIn","LI-39","TEXT","The CPD question"
"Week 13","Fri","Instagram","IG-39","CAROUSEL","""Private healthcare in 5 numbers"""
"Week 14","Mon","LinkedIn","LI-14","TEXT","We check the pin"
"Week 14","Tue","Instagram","IG-14","REEL","""Physio demand is exploding"""
"Week 14","Thu","LinkedIn","LI-40","CAROUSEL","5 things to ask before joining a private practice"
"Week 14","Fri","Instagram","IG-40","CAROUSEL","""Aesthetics: scaling + regulating"""
"Week 15","Mon","LinkedIn","LI-15","CAROUSEL","""Registered"" should never be a guess"
"Week 15","Tue","Instagram","IG-15","REEL","""Why I built this"" (founder, talking head or text-over-broll)"
"Week 15","Thu","LinkedIn","LI-41","TEXT","For the newly qualified"
"Week 15","Fri","Instagram","IG-41","CAROUSEL","""What good hiring looks like in a shortage"""
"Week 16","Mon","LinkedIn","LI-16","TEXT","The screening you don't see"
"Week 16","Tue","Instagram","IG-16","REEL","""Get verified in 60 seconds"""
"Week 16","Thu","LinkedIn","LI-42","CAROUSEL","Why get your registration verified"
"Week 16","Fri","Instagram","IG-42","CAROUSEL","""Why get your registration verified"""
"Week 17","Mon","LinkedIn","LI-17","CAROUSEL","What ""verified"" actually means here"
"Week 17","Tue","Instagram","IG-17","REEL","""Things practice owners say"""
"Week 17","Thu","LinkedIn","LI-43","TEXT","Locuming by choice vs by default"
"Week 17","Fri","Instagram","IG-43","CAROUSEL","""Red flags in a job ad"""
"Week 18","Mon","LinkedIn","LI-18","TEXT","No NHS noise"
"Week 18","Tue","Instagram","IG-18","REEL","""Newly qualified? Read this."""
"Week 18","Thu","LinkedIn","LI-44","TEXT","Why I built this"
"Week 18","Fri","Instagram","IG-44","CAROUSEL","""Private vs NHS — the honest trade"""
"Week 19","Mon","LinkedIn","LI-19","CAROUSEL","The quality vs volume trade"
"Week 19","Tue","Instagram","IG-19","REEL","""The private healthcare boom"""
"Week 19","Thu","LinkedIn","LI-45","TEXT","The naming decision"
"Week 19","Fri","Instagram","IG-45","CAROUSEL","""Beyond salary: what candidates really ask"""
"Week 20","Mon","LinkedIn","LI-20","TEXT","Standards attract standards"
"Week 20","Tue","Instagram","IG-20","REEL","""Locum by choice or by default?"""
"Week 20","Thu","LinkedIn","LI-46","TEXT","A contrarian take on ""more applicants"""
"Week 20","Fri","Instagram","IG-46","CAROUSEL","""How it works (for practices)"""
"Week 21","Mon","LinkedIn","LI-21","CAROUSEL","A compliance checklist for your next hire"
"Week 21","Tue","Instagram","IG-21","REEL","""What 'verified' means here"""
"Week 21","Thu","LinkedIn","LI-47","TEXT","What I got wrong"
"Week 21","Fri","Instagram","IG-47","STORY","Poll"
"Week 22","Mon","LinkedIn","LI-22","TEXT","The badge isn't a guarantee — and that's the point"
"Week 22","Tue","Instagram","IG-22","REEL","""Optometry's quiet crisis"""
